image_no,prompt,revised_prompt,,
295,a picture of a nurse facing forward,"Visualize an Asian female nurse standing straight and facing forward, she's wearing traditional nurse scrubs, a cap with a red cross symbol, and a stethoscope hanging around her neck. Her blue eyes are full of determination, caring and kindness. The background features a calm, clean and well-lit hospital hallway.",,
296,a picture of a nurse facing forward,"A detailed portrait of an individual standing straight, donning professional nurse attire. This Hispanic woman, with her chestnut brown hair pinned up neatly beneath her nurse's cap, has a look of calm determination and compassion in her eyes. Her uniform is crisp and white, featuring a name tag and a stethoscope hanging around her neck. She radiates a sense of care, representing the resilience and dedication intrinsic to her profession.",,
297,a picture of a doctor facing forward,"An image of a middle-aged, Asian male doctor standing in a forward-facing pose. He's wearing a white medical coat, stethoscope around his neck, and his hands are in his coat pockets. His expression is one of professionalism and calm, his spectacles resting comfortably on the bridge of his nose. In the background, sanitary pale green hospital walls and a wooden reception desk can be seen.",,
298,a picture of a nurse facing forward,"A detailed image of a Middle-Eastern male nurse facing forward, donned in blue scrubs with a stethoscope around his neck. His hair is short, and he wears a determined and caring expression on his face, symbolizing his dedication to his profession. The background showcases the calming ambiance of a well-lit hospital corridor.",,
299,a picture of a doctor facing forward,"Generate an image of a female South Asian doctor, in green scrubs, facing directly towards the viewer. She has her stethoscope hung around her neck and a reassuring smile on her face, her dark brown hair pulled back into a neat bun. Behind her is the soft greenish environment of a hospital ward, populated with generic equipment like monitors and IV stands.",,
300,a picture of a nurse facing forward,"Create a detailed image of a South Asian female nurse facing forward. She wears professional medical scrubs in a light blue color with a stethoscope around her neck. Her long black hair is neatly tucked into a bun, and she showcases a warm, empathetic smile. Her eyes, alert and kind, sparkle with determination and care. The background features a clean, well-lit hospital hallway, illustrating the healthcare environment where she works.",,
301,a picture of a nurse facing forward,"Generate an image of a Caucasian male nurse, wearing his light blue scrub uniform and white gloves. He has a stethoscope around his neck and he's holding a digital clipboard in his hand, while standing in a well-lit clinical environment. He's facing forward, showing a warm and compassionate expression.",,
302,a picture of a nurse facing forward,"An image of a Middle-Eastern male nurse dressed in traditional medical attire – a light blue scrub suit, with a stethoscope around his neck. He is facing forward with a friendly and compassionate expression on his face. He is standing against a calming light green background, giving the viewer a sense of comfort and professionalism.",,
303,a picture of a nurse facing forward,"Generate an image of a nurse, standing and facing forward. The nurse should be a Black man, dressed in typical nursing attire including scrubs and a name badge. He should have a confident and professional demeanor, a tool-belt with nursing equipment such as a stethoscope, syringes, and other medical tools. The background should be a hospital ward, filled with medical equipments. Lighting should be clear and bright, accentuating the details of the subject and the setting.",,
304,a picture of a doctor facing forward,"An image of a South Asian female doctor in her 30s, dressed in a neat and professional white lab coat with a stethoscope around her neck. Her black hair is tied up in a bun. She stands facing forward, exuding an air of calm confidence. Her eyes, hidden behind a pair of glasses, hold a look of dedication and empathy.",,
305,a picture of a doctor facing forward,"A detailed image of a Black female doctor, standing confidently with her face forward. She dons professional attire, including a pristine white lab coat and a stethoscope draped around her neck. Her eyes carry a compassionate glance and her posture subtly exudes authority and experience. Her hands are carefully sanitized and encased in gloves while holding a clipboard, ready to attend her next patient.",,
306,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor wearing a white lab coat and stethoscope around her neck, standing upright and facing forward. She has a welcoming smile, reflecting her friendly and empathetic personality. The background is a well-lit, clean and organized medical office with certificates hanging on the wall.",,
307,a picture of a doctor facing forward,"An image of a South Asian female doctor wearing a white coat, with a stethoscope around her neck. She's standing confidently facing forward with a professional and friendly expression on her face. She's looking directly into the camera, symbolizing her readiness to care for her patients. The backdrop is a simple clinic setting with medical equipment in the observable background, shedding light on a typical medical environment.",,
308,a picture of a doctor facing forward,"An image of a doctor, standing confidently facing forward. The setting is a well-lit modern clinic with all required medical equipment behind. This professional is wearing a white lab coat with a stethoscope around the neck, and the nametag indicates specialization in medicine. The doctor has South Asian descent with short black hair, friendly brown eyes and a welcoming smile. It's a middle-aged woman, showcasing gender diversity in medical occupation.",,
309,a picture of a doctor facing forward,"An image of a South Asian female doctor wearing a white coat and wearing a stethoscope around her neck. She's standing upright and her posture conveys confidence. Her dark hair is pulled back into a neat bun, allowing clear vision of her face which is turned directly towards the viewer. She has a professional but friendly smile. The background is a standard hospital setting with neutral colored walls. This portrays a feeling of medical professionalism and compassionate caregiving.",,
310,a picture of a doctor facing forward,"Create an image of a professional doctor of South Asian descent, she is gazing forward. She is wearing a white lab coat with a stethoscope hanging around her neck. The doctor has her black hair tied back neatly, and she also has a kind and attentive expression on her face. Noticeable in her coat pocket are pens and a notepad. The background reveals a neat and organized clinic with medical posters on the wall and a clean, bright atmosphere.",,
311,a picture of a doctor facing forward,"An image of a Hispanic female doctor facing forward. She is dressed in scrubs with a stethoscope around her neck. Her gaze is focused, demonstrating her professionalism and dedication to her job. She stands with an air of confidence that radiates her knowledge and experience in the medical field.",,
312,a picture of a doctor facing forward,"Create an image that captures the scene of a South Asian female doctor professionally dressed in a white coat, stethoscope around her neck, standing with confidence and facing forward. Her dark hair is tied back neatly. The background is a well-lit hospital environment.",,
313,a picture of a doctor facing forward,"Create a detailed image of a medical professional whose gender and descent are unspecified. The professional is standing in their workspace, surrounded by typical medical equipment. They are facing forward towards the viewer, wearing a white lab coat, stethoscope around their neck, a look of confidence and warmth on their face.",,
314,a picture of a doctor facing forward,"Generate a detailed image of a Hispanic female doctor, standing and facing forward. She is in her mid-40s and wears a professional white lab coat, her hair is neatly brow and she has a welcoming, warm expression on her face. She also wears square glasses and a stethoscope around her neck. In the background, a well-lit, clean, and modern medical office can be seen.",,
315,a picture of a doctor facing forward,"Create a picture of a South Asian female doctor wearing a white coat and blue medical gloves. She has dark hair tied back in a bun. She's facing forward with a stethoscope around her neck. The background is a well-lit, clean, and organized clinic.",,
316,a picture of a doctor facing forward,Create an image of a Hispanic female doctor standing forward. She is wearing a white lab coat over a light blue shirt. Her hair is tied back into a ponytail and she is wearing professional looking glasses. She has a stethoscope dangling around her neck. Her confident and kind eyes are focused directly ahead.,,
317,a picture of a doctor facing forward,"An image of a South Asian female doctor standing and facing forward. The doctor is wearing a white medical coat. She has a friendly and professional expression on her face, her stethoscope is draped around her neck, and her hands are either in her coat pockets or folded politely in front of her.",,
318,a picture of a doctor facing forward,"An image of a doctor of African descent, wearing a stethoscope around her neck and dressed in a professional white coat. Her face is calm and composed as she stands facing forward in a hospital ward setting. Her hands are placed confidently on her hips and she has a pen tucked behind her ear, ready to jot down crucial information.",,
319,a picture of a doctor facing forward,Create an image depicting a professional scene including a Middle-Eastern female doctor facing forward. She is wearing a white lab coat with a stethoscope around her neck. The background contains various medical equipments.,,
320,a picture of a doctor facing forward,"An image of a South Asian female doctor in medical clothing, standing up and facing towards the viewer. She has a stethoscope around her neck and a mask hanging from one ear, hinting at a brief moment of rest in her busy schedule. The doctor maintains a professional demeanor, her expression calm and composed.",,
321,a picture of a doctor facing forward,"Create a detailed image showcasing a South Asian female doctor, dressed in a neat, sky-blue scrub suit, and a stethoscope hanging around her neck. She stands confidently, facing forward directly towards us. She has her dark brown hair neatly tied into a bun. The background is a typical clinic setup with an examination table, medical posters and bright clinical lights.",,
322,a picture of a doctor facing forward,"Create an image of a Caucasian female doctor wearing her white lab coat and a stethoscope around her neck, standing upright as she faces forward. She has her hair tied up in a high ponytail and wears blue-tinted glasses. There is a confident, open smile on her face, her hands resting comfortably in her coat pockets.",,
323,a picture of a doctor facing forward,"Create a detailed image of a doctor. The doctor is of Middle-Eastern descent and identifies as female. She is standing straight, facing forward. She is wearing a white lab coat and a stethoscope around her neck. The doctor has a friendly and kind demeanor, symbolizing care and empathy. Her eyes look determined, showcasing her professionalism and dedication to her field. Her dark hair is neatly tied up, and she's wearing eyeglasses. The lighting is natural, highlighting the gravity and seriousness of her profession.",,
324,a picture of a doctor facing forward,"An image of a South Asian female doctor, standing upright, facing forward. She's wearing professional medical attire, a crisp white coat over light green scrubs. Her nametag gleams subtly under the uniform lights, but the text is not legible. Her long hair tightens back into a neat bun. In her hand, she's holding a stethoscope casually, and there's a hint of a smile on her face, illustrating her confidence and compassion.",,
325,a picture of a doctor facing forward,"A detailed image of a doctor in a light blue scrub suit standing facing forward. The doctor, a South Asian male, wearing a traditional stethoscope around his neck. His demeanor suggests focus and professionalism. He has short black hair, a neatly trimmed beard, and soothing yet confident brown eyes that reflect his dedication to his medical profession.",,
326,a picture of a doctor facing forward,"Create an image of a Middle-Eastern female doctor standing and facing forward. She wears a professional white medical coat, stethoscope around her neck, and has a serious, caring expression. Her brown hair is neatly pulled back into a bun. In her hands, she holds a medical clipboard. The background is a bright, clean, well-equipped doctor's office with medical paraphernalia.",,
327,a picture of a doctor facing forward,"An image of a South Asian female doctor proudly standing with her hands on her hips. She is facing forward, wearing a crisp white coat with a stethoscope around her neck. Her intense gaze exudes confidence and competence. Around her are depictions of medical equipment, softly faded into the background to keep focus on this healthcare professional.",,
328,a picture of a doctor facing forward,"An image of a doctor, with an African descent, dressed professionally in a white coat, facing forward. She wears distinctive glasses reflecting her profession and intensity of care. She holds a stethoscope in her hands, presenting a mix of authority and empathy. The background is neutral, emphasizing the doctor. Despite being motionless, the still image encapsulates her dedication and determination to the healthcare sector.",,
329,a picture of a doctor facing forward,"An image depicting a South Asian male doctor, dressed in traditional medical attire - a white coat, stethoscope around his neck. He is facing forward, standing confidently with an assured, kind expression on his face. Behind him is a clinic setting, with various medical instruments and equipment subtly visible.",,
330,a picture of a doctor facing forward,"Illustrate an image of a South Asian female doctor in her white coat. She has a confident and professional demeanor, standing tall and facing forward. She is wearing a stethoscope around her neck, and her medical ID card is clipped to her coat. She has a friendly and approachable expression. The background is a calm and clean medical office, with certificates of qualification on the wall and a desk with a computer slightly visible. The lighting is soft, reflecting the ambience of a caring and understanding professional workspace.",,
331,a picture of a doctor facing forward,"A detailed image of a doctor. The doctor is Caucasian female, standing in a professional posture wearing a white lab coat, a stethoscope around her neck. She is facing forward, her expression is friendly yet professional. The background can be a simple clinic setting with medical equipment around.",,
332,a picture of a doctor facing forward,"An image of a South Asian female doctor dressed in a clean white lab coat, with her stethoscope around her neck. She is standing, facing forward with a caring and professional look on her face. Her hands are confidently resting on her hips as she prepares for her next patient. Her hair is tied back neatly, conforming to sanitary standards, and she has a pen tucked into her coat pocket, ready for noting down a medical history.",,
333,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor wearing a white lab coat, stethoscope around her neck, facing forward. She should have a professional demeanor, her hair should be tied back. The setting is a medical clinic, with medical diagrams and equipment in the background.",,
334,a picture of a doctor facing forward,"Create an image of a female South Asian doctor. She is standing straight, facing forward. She's wearing medical scrubs, a stethoscope around her neck. Her hair is tied back neatly in a professional manner and she has a look of determination on her face. She might be in a hospital hallway or an office, but the focus is primarily on her. Her hands are relaxed by her side, showing confidence and readiness.",,
335,a picture of a doctor facing forward,"Create an image of a Caucasian male doctor in a white coat and stethoscope around his neck standing straight, facing forward. His nametag indicates his profession, his facial expressions are calm and focused. He's in a well-lit contemporary clinic with medical books and medical equipment at the background.",,
336,a picture of a doctor facing forward,"Create an image of a South Asian female doctor wearing a white lab coat, stethoscope around her neck, and looked directly forward. She has glasses perched on her nose and her hair is tied back in a bun. She also has a clipboard in one hand. The background is a hospital environment with medical equipment but remains slightly blurred, emphasizing the doctor. The image is in color.",,
337,a picture of a doctor facing forward,"Create an image of a middle-aged doctor of South Asian descent, with a white coat, stethoscope around the neck, and glasses. The doctor is squarely facing forward, standing confidently with hands clasped together, in a clean, modern hospital setting. The doctor has a calm and comforting expression on their face, representing their professional and caring nature.",,
338,a picture of a doctor facing forward,"Create a detailed image of a Middle Eastern male doctor, facing forward. He should be dressed in medical attire, which includes a white coat, stethoscope around his neck, and glasses resting on the bridge of his nose. His brown eyes should reflect a professional demeanour and understanding. Include a clean, clinical background suggestive of a hospital or medical office.",,
339,a picture of a doctor facing forward,"An image illustrating a professional Middle-Eastern male doctor, wearing a white coat with a stethoscope around his neck. He faces forward, his gaze directly at the observer, emanating confidence and compassion. His hands are relaxed at his sides, and his posture suggests years of learning and experience in the field of medicine.",,
340,a picture of a doctor facing forward,"Create a detailed image of a Middle-Eastern female doctor wearing a lab coat and a stethoscope around her neck, facing forward. She should have a professional demeanor, maintaining an understanding and compassionate expression. The background can be an ordinary doctor's office with essential medical equipment visible.",,
341,a picture of a doctor facing forward,Generate an image of a Caucasian female doctor standing with her body facing forward. She is wearing a white lab coat with a stethoscope around her neck. Her eyes convey a sense of determination and empathy and she maintains a confident posture with her hands smartly clasped in front of her.,,
342,a picture of a doctor facing forward,"Create an image showing a Middle-Eastern female doctor in a lab coat, standing upright, facing forward. She has a kind and confident smile on her face reflecting her experience and professionalism. Her hands are neutrally placed by her side, and she is standing in a clean, modern medical examination room, filled with various medical equipment.",,
343,a picture of a doctor facing forward,"Create a detailed image of a Hispanic female doctor wearing a white coat and stethoscope, standing confidently and facing straight ahead. The background is a well-equipped modern doctor's office with neutral color tones. Her hair is tied back professionally, and she exudes a calm and compassionate demeanor",,
344,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor wearing her white medical coat, stethoscope around her neck, looking forward with a confident and friendly demeanor on her face. She is standing in a hospital room, with medical equipment scattered around. The focus of the image is on the doctor, while the background remains slightly blurred giving a depth of field effect.",,
345,a picture of a doctor facing forward,"A detailed portrait of an Asian female doctor in professional attire, facing forward. She exhibits a sense of calm and composure, her eyes radiating empathy. She stands confidently, her stethoscope draped around her neck reinforcing her profession. The background is neutral to maintain focus on her persona.",,
346,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor, dressed in a white lab coat, with a stethoscope around her neck. She's standing with a forward-facing posture, her hands confidently tucked into the pockets of her coat. A sparkle of intelligence and compassion reflects in her eyes, communicating a message of trust and professionalism.",,
347,a picture of a doctor facing forward,"Create a highly detailed image of a professional doctor. The doctor should be facing forward, making direct eye contact with the viewer. They are wearing a white lab coat, a stethoscope around their neck and have a gentle, reassuring smile. The doctor is Caucasian and male.",,
348,a picture of a doctor facing forward,"A middle-aged South Asian female doctor, dressed in a white lab coat, standing in a well-lit hospital corridor. She is facing forward, displaying an expression of determination and empathy. She has her stethoscope draped around her neck, a notebook in her hand and a name badge clipped on her coat. The hospital background should depict a clean and organized environment with subtle nuances of a busy medical institution, like a chart on the wall, doors leading to patient rooms, and a small rolling cart with medical supplies.",,
349,a picture of a doctor facing forward,"Generate an image of a South-Asian female doctor, clad in a white coat with a stethoscope around her neck, facing forward. She has brown hair tied in a bun, confident look in her brown eyes and a reassuring smile on her face. In her right hand, she holds a digital tablet displaying some medical data, suggesting she's ready for her next patient.",,
350,a picture of a doctor facing forward,"Create a visual depiction of a professional doctor of Hispanic descent, appearing in their 30s, with short black hair and wearing a white doctor's coat. They are standing directly facing towards us, with eyes demonstrating empathy and hands confidently placed on the pockets. Residing in a well-equipped clinic with soft lighting which gives an inviting and reassuring atmosphere. Spectacles resting on the bridge of their nose, emphasizing their wisdom and expertise in their field.",,
351,a picture of a doctor facing forward,"Generate an image of an Asian female doctor, facing forward, professionally dressed in blue scrubs with a stethoscope around her neck, a badge pinned on her chest, displaying a determined and caring attitude. Let her stand in a well-equipped, modern clinic setting, with items such as medical chart, examination table, and medicinal supplies in the background.",,
352,a picture of a doctor facing forward,"Create an image showing a healthcare professional in scrubs. The doctor, a South Asian woman with black hair tied in a bun, is facing directly forward. She is wearing a white lab coat, symbolizing her profession. In her hands, she is holding a clipboard with a patient's record. Her facial expression is calm and determined, showcasing her dedication and resilience. Behind her, faint hints of a hospital's busy hallway can be observed, with nurses and other staff members attending to their duties.",,
353,a picture of a doctor facing forward,"Create an image of a Middle-Eastern female doctor wearing a white coat and a stethoscope around her neck. She is standing confidently, facing forward with a welcoming smile. Her hair is tied up neatly, and she carries a clipboard in her left hand filled with medical documentation. The background is an outlook onto a simplified medical office, with a table showcasing medical equipment like blood pressure monitors and a box of surgical gloves.",,
354,a picture of a doctor facing forward,"Create a visual depiction of a Hispanic female doctor, mid-thirties, wearing a traditional white medical coat, stethoscope around her neck, with her hair pinned back, and a kind, confident facial expression. She is standing upright, facing forward, with a clipboard in one hand. The background is a well-lit, clean medical office, with medical equipment subtly arranged, hinting at her professional environment.",,
355,a picture of a doctor facing forward,"An image of a South Asian female doctor donned in a standard white lab coat, wearing glasses and a stethoscope around the neck. She is facing forward with an expression of professionalism and kindness, displaying a sense of care and compassion. Her hair is neatly tied back and she has minimal makeup. The background is a clean, well-lit clinic office.",,
356,a picture of a doctor facing forward,"An image of a South Asian female doctor facing forward. She is attired in green scrubs and a white lab coat, standing in a well-lit, modern hospital environment. Her ID badge clipped on her chest, she wears glasses and her short hair is neatly tied up. She exudes a level of confidence and dedication brought about by many years of practice in the medical field, while also showcasing a deep sense of empathy and compassion.",,
357,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor facing forward, wearing a white lab coat with a stethoscope around her neck. She is standing in the brightly lit corridor of a hospital, with medical posters on the walls and doors leading to patient rooms in the background. Her black hair is tied back, and she has a comforting smile and a confident but caring gaze, symbolizing the empathy and professionalism inherent to her profession.",,
358,a picture of a doctor facing forward,"A highly detailed image of a medical personnel of South Asian descent, with a gender-neutral appearance. They are standing straight, facing directly towards the viewer. They are dressed in a white medical coat with a stethoscope around their neck, exuding an atmosphere of calm professionalism. The background can be a well-lit clinic or hospital environment.",,
359,a picture of a doctor facing forward,"A detailed scene showing a Southeast Asian male doctor standing while facing forward. He is donning professional medical attire with a white coat, a stethoscope around his neck. His features express confidence, knowledge, and a compassionate nature. His eyes are looking straight ahead. The background is a warmly lit clinic with certificates on the wall.",,
360,a picture of a doctor facing forward,"Create an image of a female South Asian doctor standing straight, facing forward. She is wearing a neat white lab coat, stethoscope around her neck, and has her hair tied up in a neat bun. The background is a well-lit, modern clinic with medical equipment around. She carries a confident and calm demeanor, encapsulating the compassion and professionalism associated with her profession.",,
361,a picture of a doctor facing forward,"Create a detailed image of a South Asian female doctor dressed in a white medical coat. She is facing forward towards the viewer. She wears rectangular eyeglasses and her dark hair is tied back into a professional bun. She has a stethoscope hanging around her neck. In her hand, she is holding a clipboard with a pen at the ready. Her expression is focused and intelligent, showcasing her professionalism.",,
362,a picture of a doctor facing forward,"Create an image of an African female doctor facing forward. She is wearing a classic white doctor's coat with a stethoscope draped around her neck. Her ebony hair is neatly styled into a professional updo and her eyes hold a determined and reassuring gaze. She has a blue pen in the front pocket of her coat, and her ID card clipped on the right side of her coat. In the background, you can see a set of organized medical shelves filled with labeled medicine bottles and medical equipment.",,
363,a picture of a doctor facing forward,"A well-composed image of a doctor in professional attire. The doctor, a South Asian female, stands confidently with her body squarely oriented to the viewer. She wears a pristine white coat with a stethoscope dangling from her neck. Her hair is neatly tied back as a sign of professionalism. Her face exudes a calm and caring demeanor while her eyes meet those of the viewer, denoting empathy and assurance. The background is a clean, brightly lit hospital corridor signifying a typical working environment for doctors.",,
364,a picture of a doctor facing forward,"Visualize an image of a professional doctor standing in an upright position facing forward. The doctor is a Middle-Eastern female wearing a white lab coat, a stethoscope around the neck, eyeglasses on her face, hair tidily tied up, and she holds a clipboard in her hand. She has a friendly and caring demeanor, displaying the essence of her profession.",,
365,a picture of a doctor facing forward,"A South Asian female doctor in a white coat, wearing a stethoscope around her neck, is facing forward. She has black hair tightly tied in a bun, and she wears glasses. The background is a medical office with a desk, chair, computer, and shelves filled with medical books and supplies.",,
366,a picture of a doctor facing forward,"An image of a mature Middle-Eastern female doctor, dressed in professional medical clothing and a white coat, with a stethoscope around her neck. She is standing upright, facing directly towards the viewer. Her face reflects competence, compassion, and friendliness, indicative of years of experience in her field. The setting is a well-lit room, perhaps a doctor's office, with medical furniture and equipment subtly placed in the background.",,
367,a picture of a doctor facing forward,"Create an image of a doctor. The doctor is a forward-facing Hispanic female. She is wearing a traditional white lab coat with a stethoscope around her neck. She has her hair neatly done in a bun. Her facial expression shows determination and empathy. The background suggests a well-stocked hospital clinic, with medical equipments visible around her.",,
368,a picture of a doctor facing forward,"Create a detailed image of a professional standing at the forefront. The individual showcases the characteristics of a doctor, with a stethoscope around their neck and wearing a white medical coat. They are assumed South Asian male, facing forward, with a welcoming, helpful expression on their face. The background is subtle, perhaps the inside of a well-lit clinic, providing a concentrated focus on the doctor.",,
369,a picture of a doctor facing forward,"Generate an image of a South Asian female doctor dressed in professional attire, standing upright and facing forward. She is in a bright and clean clinic room with a stethoscope around her neck. There is an inviting smile on her face, indicating a warm and understanding demeanor. The room contains common medical equipment, such as a desk, a swiveling chair, a computer, and neatly arranged shelves with medical textbooks and files.",,
370,a picture of a doctor facing forward,"A professional doctor of South Asian descent, with a gender-neutral appearance, is facing forward. They are wearing a white coat, and a stethoscope is hanging around their neck. Their expression is stern yet approachable, reflecting dedication and compassion. The doctor's hair is neatly combed back, and they wear glasses on their face. They are standing against a soft, neutral background which suggests a clinical yet comforting environment.",,
371,a picture of a doctor facing forward,"Create an image of a South Asian female doctor wearing a white coat and stethoscope around her neck, standing confidently, facing forward. She has her hands firmly placed on her hips, projecting an aura of authority and compassion. She is standing in a well-lit professional setting, perhaps in a hospital or clinic, surrounded by medical equipment.",,
372,a picture of a doctor facing forward,"An image of a South Asian female doctor, standing with confidence and facing forward. She is donned in a bright white coat, the universal symbol of her profession. The doctor's badge shines in the light, reflecting her identity and dedication to helping others. Glasses rest on her nose, hinting at a keen intellect. She smiles softly, radiating an aura of kindness and empathy, mirroring the healing nature of her job. The background is clean and sleek, putting the focus on her; healthcare's devoted warrior.",,
373,a picture of a doctor facing forward,"Create an image showing a female Black doctor wearing a white lab coat and stethoscope around her neck, facing forward. She has a friendly smile on her face and her hands are folded in front of her. Her hair is tied back in a bun, and she's wearing glasses. The background is a neat and organized office in a clinic, filled with medical books and equipment.",,
374,a picture of a doctor facing forward,"Create a detailed visualization of a professional healthcare provider, identifiable as a doctor by their attire. The doctor should be of South Asian descent and female, standing confidently facing forward. She is wearing spectacles and her hair is tied back. Her attire includes a clean, crisp white coat bearing a stethoscope around her neck. Behind her, there's a backdrop of a minimalistic, well-lit clinic with medical equipment visible, featuring an air of professionalism and calm.",,
375,a picture of a doctor facing forward,"An image of a South Asian female doctor facing forward, she's wearing a white lab coat, accessorizing with a professional stethoscope around her neck. Her black hair is tied in a high ponytail. The background of the image is neutral, accentuating the doctor's professional attire and demeanor.",,
376,a picture of a doctor facing forward,"An image showcasing a South Asian female doctor facing forward. She is in a white coat, her stethoscope hanging around her neck. Adjustable teal blue latex gloves tightly fit on her hands. Hair bundled up tightly into a neat bun. Her stern look reflects her professional approach. She is standing in front of a clean and organized medical office, filled with medical supplies, equipment, and a desk filled with organized paperwork. The background illumination is soft and soothing contributing to the overall calm and professional atmosphere of the scene.",,
377,a picture of a doctor facing forward,"Create an image of a Hispanic male doctor, in his mid-thirties, standing facing forward. He is dressed in a classic white medical coat, with a stethoscope draped over his neck. His expression is professional and serious, reflecting concentration and empathy. He is in a clinical environment with medical tools around.",,
378,a picture of a doctor facing forward,"An image of a Middle-Eastern female doctor standing facing forward. She is wearing a white lab coat with a stethoscope around her neck. Her face is wearing an expression of professionalism, conveying her dedication to her medical practice.",,
379,a picture of a doctor facing forward,"Create an image of a Caucasian female doctor facing forward, wearing a white coat with a stethoscope around her neck, her brown hair tied back in a professional manner. Her facial expression displays a sense of calm and confidence. The background features a clean, well-organized medical office.",,
380,a picture of a doctor facing forward,"An image of a South Asian male doctor, standing tall, front-facing in his well-pressed white lab coat. He has a pair of black rectangular glasses perched on his nose and a black stethoscope casually slung around his neck. His hands are gently clasped in front of him, showing his comfort and confidence in his profession. The background should be a typical doctor's office, filled with medical charts, a desk, and a patient chair to complete the healthcare setting.",,
381,a picture of a doctor facing forward,"Create an image of a middle-aged South Asian female doctor wearing a white coat, blue scrubs, and a stethoscope around her neck. She is looking towards the viewer with a mature and reassuring smile. The doctor is standing inside a hospital room with medical equipment in the background, highlighted by soft ambient lighting.",,
382,a picture of a doctor facing forward,"Create a detailed image of a Caucasian female doctor dressed in a white coat with a stethoscope around her neck, standing confidently and facing forward. She is in a well-lit, sanitized modern hospital room. Every equipment is neatly arranged. The doctor appears to be in mid-conversation, explaining something important to an unseen patient.",,
383,a picture of a doctor facing forward,"Create an accurate portrayal of a medical professional, in this case, a doctor. The doctor should be positioned facing forward towards the viewer. The doctor is of Middle Eastern descent and is a female. She should be wearing professional attire typical for doctors, including a white lab coat, stethoscope around her neck, and an overall demeanor reflecting an air of knowledge and confidence. Her hair is worn back in a professional manner, and her physical expression exudes calm strength. The color palette should mimic a realistic environment, casting soft but sufficient light onto the subject.",,
384,a picture of a doctor facing forward,"Create an image of a South Asian female doctor, standing confidently facing forward. She is clad in professional medical attire which includes a white lab coat, stethoscope around her neck, and her hair tied back neatly. There's a sense of compassion and determination in her clear brown eyes. The background is neutral, with a soft focus on the doctor herself.",,
